time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-06 00:00:00+00:00,86,22,21.0,3.0
2023-02-07 00:00:00+00:00,1,1,3.0,2.0
2023-02-08 00:00:00+00:00,1,1,,
2023-02-09 00:00:00+00:00,1,1,,
2023-02-10 00:00:00+00:00,80,20,19.0,3.0
2023-02-11 00:00:00+00:00,8,5,,
2023-02-12 00:00:00+00:00,2,2,,
2023-02-13 00:00:00+00:00,3,3,,
2023-02-14 00:00:00+00:00,1,1,1.0,1.0
2023-02-15 00:00:00+00:00,2,2,2.0,2.0
2023-02-16 00:00:00+00:00,2,2,,
2023-02-17 00:00:00+00:00,1,1,,
2023-02-18 00:00:00+00:00,1,1,,
